breathe.v.06	communicate.v.02
misread.v.01	read.v.04
turn.v.26	grow.v.02
revamp.v.01	make.v.03
credit.v.01	evaluate.v.02
contend.v.01	affirm.v.03
retie.v.01	attach.v.01
jumble.v.02	assemble.v.01
chomp.v.01	grate.v.04
plume.v.03	decorate.v.01
cross-check.v.01	see.v.10
patinate.v.01	coat.v.01
reform.v.01	better.v.02
dash_off.v.01	write.v.01
weave.v.01	change_shape.v.01
hedge.v.03	surround.v.01
switch_on.v.01	throw.v.06
underachieve.v.01	carry_through.v.01
reassemble.v.01	join.v.02
flush.v.03	cause_to_be_perceived.v.01
reach.v.06	be.v.03
sand_cast.v.01	make.v.03
tinkle.v.01	cause_to_be_perceived.v.01
bar_mitzvah.v.01	declare.v.01
suspend.v.06	postpone.v.01
toggle.v.03	let_go_of.v.01
slat.v.01	transfer.v.05
draw_in.v.01	attract.v.01
deceive.v.01	wrong.v.01
pomade.v.01	better.v.02
causeway.v.01	give.v.03
shepherd.v.01	protect.v.01
spy.v.02	monitor.v.01
kayak.v.01	boat.v.01
fag.v.01	serve.v.10
bootleg.v.01	sell.v.01
bloviate.v.01	communicate.v.02
shock.v.02	repel.v.02
canton.v.02	change_integrity.v.01
extrapolate.v.03	deduce.v.01
steamroller.v.03	squash.v.01
stem.v.02	move.v.02
speck.v.01	mark.v.05
spur.v.05	give.v.03
defoliate.v.01	remove.v.01
cover.v.09	protect.v.01
handicap.v.02	influence.v.01
cord.v.02	tie.v.01
loft.v.02	move.v.02
report.v.04	inform.v.01
rake.v.02	change.v.02
double-space.v.01	write.v.02
toast.v.02	prize.v.01
reseat.v.03	put.v.01
bubble_over.v.01	seethe.v.02
decoy.v.01	provoke.v.03
naturalize.v.02	inform.v.01
overpopulate.v.01	be.v.03
enchain.v.01	restrain.v.03
rush.v.03	hash_out.v.01
connect.v.11	move.v.02
address.v.07	recover.v.01
reconvict.v.01	convict.v.01
answer.v.03	understand.v.01
optimize.v.02	change.v.02
accept.v.04	act.v.01
realize.v.06	compose.v.02
implicate.v.01	involve.v.01
tone.v.01	talk.v.02
malt.v.04	change.v.01
ennoble.v.01	think.v.03
come.v.05	become.v.03
redouble.v.02	multiply.v.02
rivet.v.03	interest.v.01
hint.v.01	tell.v.02
interleave.v.02	intersperse.v.01
ground.v.02	restrain.v.03
gravitate.v.01	tend.v.01
jar.v.05	move.v.02
polish.v.02	better.v.02
foul.v.06	dirty.v.01
ban.v.02	communicate.v.01
